Region,District,Constituency,Sub County,Parish,village
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,OPOPONGO,CUNG APENYI
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,OPOPONGO,DII CWINYI
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,OPOPONGO,AKONGUCWA
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,OPOPONGO,KATALA
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,OPOPONGO,OBAR  YATH
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,OPOPONGO,ODOKOMIT
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,OPOPONGO,OKWANGALUK
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,OPOPONGO,OPEDUR EAST
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,OPOPONGO,THULUMUK
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,OPOPONGO,KAETHERENG
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,OPOPONGO,OPEDUR WEST
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,PUPUKAMUYA,ATHEDER NORTH
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,PUPUKAMUYA,ATHEDER SOUTH
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,PUPUKAMUYA,AYWEE
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,PUPUKAMUYA,TERAMOTH
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,KOBULIN,ABOKATH
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,KOBULIN,AOYATHOGO
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,KOBULIN,BARJOBI
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,KOBULIN,KAKORINYANG
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,KOBULIN,KANAAN
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,KOBULIN,JERUSALEM
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,KOBULIN,IBONGUSUA
KARAMOJA,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,KIRU WARD,OYARO NORTH
KARAMOJA,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,KIRU WARD,OBANGANGEO NORTH
KARAMOJA,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,KIRU WARD,OBANGANGEO SOUTH
KARAMOJA,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,KIRU WARD,OBANGANGEO WEST
KARAMOJA,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,KIRU WARD,NYIKINYIKI
KARAMOJA,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,KIRU WARD,ALULA
KARAMOJA,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,KIRU WARD,MISSION
KARAMOJA,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,KIRU WARD,OBANGANGEO EAST
KARAMOJA,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,WIAWER WARD,ABIM CENTRAL
KARAMOJA,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,WIAWER WARD,ATWILO
KARAMOJA,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,WIAWER WARD,ABIM HOSPITAL
KARAMOJA,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,WIAWER WARD,ANGWEE NORTH
KARAMOJA,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,WIAWER WARD,YENGLEMI WEST
KARAMOJA,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,WIAWER WARD,YENGLEMI EAST
KARAMOJA,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,WIAWER WARD,ATING NORTH
KARAMOJA,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,WIAWER WARD,ATING SOUTH
KARAMOJA,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,WIAWER WARD,ABIM EAST
KARAMOJA,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,WIAWER WARD,ABIM NORTH
KARAMOJA,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,WIAWER WARD,ABIM WEST
KARAMOJA,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,WIAWER WARD,ANGWEE SOUTH
KARAMOJA,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,WIAWER WARD,AYWEE NORTH
KARAMOJA,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,WIAWER WARD,DAGARONYA
KARAMOJA,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,WIAWER WARD,ENTEBBE
KARAMOJA,ABIM,LABWOR COUNTY,ABIM TOWN COUNCIL,WIAWER WARD,ORINGOWELO
